Length,,
0.211,Mean,0.193633333
0.368,STD,0.083240748
0.253,,
0.397,,
0.175,,
0.11,,
0.196,,
0.291,,
0.16,,
0.176,,
0.182,,
0.102,,
0.177,,
0.229,,
0.126,,
0.323,,
0.266,,
0.211,,
0.176,,
0.27,,
0.066,,
0.114,,
0.179,,
0.406,,
0.101,,
0.206,,
0.161,,
0.093,,
0.235,,
0.368,,
0.128,,
0.168,,
0.206,,
0.315,,
0.087,,
0.113,,
0.113,,
0.283,,
0.142,,
0.161,,
0.116,,
0.2,,
0.133,,
0.18,,
0.115,,
0.206,,
0.084,,
0.122,,
0.082,,
0.205,,
0.117,,
0.203,,
0.322,,
0.301,,
0.176,,
0.195,,
0.109,,
0.111,,
0.14,,
