Length,,
0.309,Mean,0.253211679
0.259,STD,0.062540081
0.331,,
0.275,,
0.332,,
0.225,,
0.338,,
0.322,,
0.169,,
0.214,,
0.352,,
0.242,,
0.32,,
0.3,,
0.274,,
0.275,,
0.256,,
0.145,,
0.237,,
0.165,,
0.165,,
0.309,,
0.241,,
0.272,,
0.178,,
0.324,,
0.186,,
0.354,,
0.28,,
0.259,,
0.219,,
0.143,,
0.142,,
0.212,,
0.23,,
0.216,,
0.208,,
0.123,,
0.174,,
0.175,,
0.166,,
0.259,,
0.226,,
0.225,,
0.238,,
0.291,,
0.291,,
0.229,,
0.233,,
0.246,,
0.195,,
0.154,,
0.184,,
0.204,,
0.325,,
0.256,,
0.256,,
0.214,,
0.284,,
0.226,,
0.232,,
0.245,,
0.127,,
0.173,,
0.204,,
0.281,,
0.279,,
0.332,,
0.278,,
0.339,,
0.334,,
0.327,,
0.17,,
0.202,,
0.189,,
0.174,,
0.241,,
0.201,,
0.289,,
0.216,,
0.301,,
0.293,,
0.349,,
0.338,,
0.352,,
0.31,,
0.223,,
0.153,,
0.101,,
0.11,,
0.263,,
0.337,,
0.323,,
0.216,,
0.351,,
0.328,,
0.332,,
0.254,,
0.233,,
0.332,,
0.302,,
0.282,,
0.339,,
0.27,,
0.217,,
0.2,,
0.232,,
0.319,,
0.31,,
0.294,,
0.309,,
0.289,,
0.326,,
0.351,,
0.356,,
0.201,,
0.157,,
0.178,,
0.232,,
0.274,,
0.313,,
0.204,,
0.332,,
0.276,,
0.223,,
0.239,,
0.259,,
0.232,,
0.25,,
0.231,,
0.284,,
0.262,,
0.183,,
0.201,,
0.35,,
0.322,,
0.307,,
